"deviance","pvalue","marker","variables"
7.47744162194671,0,"EcM","Geographic"
0.656869832413995,0.52,"EcM","compo.axis1"
0.313657834996809,0.606,"EcM","compo.axis2"
0.821066970478669,0.449,"EcM","time.log.sc"
1.94872013884156,0.316,"EcM","t.s"
16.1636915496976,0,"EcM","twi.s"
4.40224063888539,0.097,"EcM","ndvi.s"
4.75298952742472,0.09,"EcM","ph.s"
2.37053509402718,0.18,"EcM","n.s"
1.14616089866814,0.393,"EcM","p.s"
1.65414093929677,0,"AM","Geographic"
5.84799454739765,0.01,"AM","compo.axis1"
0.653894846483374,0.418,"AM","compo.axis2"
21.2225371108279,0,"AM","time.log.sc"
0.321389485449539,0.503,"AM","t.s"
0.154603721912215,0.587,"AM","twi.s"
4.20213237773081,0.024,"AM","ndvi.s"
6.83754309119017,0.002,"AM","ph.s"
2.8988886187866,0.049,"AM","n.s"
0.142262538967092,0.61,"AM","p.s"
