Glacier,Year,Plot,uniqPlot,glacier,time,time.log,time.log.sc,c,n,p,ph,lg_n,lg_p,ph.s,n.s,p.s,lon,lat,meanT,ndvi,twi
adigi,1765,a,adigi_1765_a,Adigine,254,5.537334267,1.453936517,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.44867,42.5262,8.608506146,0.432961576,13.00628525
adigi,1765,b,adigi_1765_b,Adigine,254,5.537334267,1.453936517,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.44867,42.52631,8.641041443,0.427361755,13.06132066
adigi,1765,c,adigi_1765_c,Adigine,254,5.537334267,1.453936517,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.44877,42.52644,8.641041443,0.43690898,13.06132066
adigi,1765,d,adigi_1765_d,Adigine,254,5.537334267,1.453936517,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.4485,42.52663,8.600343127,0.195755665,12.43146175
adigi,1765,e,adigi_1765_e,Adigine,254,5.537334267,1.453936517,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.44912,42.52672,8.681249799,0.396261607,12.5057243
adigi,1949,a,adigi_1949_a,Adigine,70,4.248495242,0.276519832,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.444223,42.51873,8.4735533,0.148474517,10.45796253
adigi,1949,b,adigi_1949_b,Adigine,70,4.248495242,0.276519832,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.44432,42.51887,8.511055303,0.127495205,11.41123333
adigi,1949,c,adigi_1949_c,Adigine,70,4.248495242,0.276519832,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.4444,42.51902,8.526153517,0.133962342,9.303928627
adigi,1949,d,adigi_1949_d,Adigine,70,4.248495242,0.276519832,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.4448,42.51916,7.17498217,0.119184259,10.21508429
adigi,1949,e,adigi_1949_e,Adigine,70,4.248495242,0.276519832,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.44409,42.51852,8.425263524,0.115604332,10.31583838
adigi,1963,a,adigi_1963_a,Adigine,56,4.025351691,0.072667422,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.437895,42.513342,6.877491474,0.061054144,10.72179914
adigi,1963,b,adigi_1963_b,Adigine,56,4.025351691,0.072667422,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.438057,42.513345,6.877491474,0.078144368,10.72179914
adigi,1963,c,adigi_1963_c,Adigine,56,4.025351691,0.072667422,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.437949,42.513377,6.877491474,0.061054144,10.72179914
adigi,1963,d,adigi_1963_d,Adigine,56,4.025351691,0.072667422,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.437788,42.513348,6.877491474,0.062391474,10.72179914
adigi,1963,e,adigi_1963_e,Adigine,56,4.025351691,0.072667422,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.437628,42.51322,6.915764904,0.058747322,11.76621515
adigi,1981,a,adigi_1981_a,Adigine,38,3.63758616,-0.281575115,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.43656,42.51046,5.880180788,0.044558313,15.47458039
adigi,1981,b,adigi_1981_b,Adigine,38,3.63758616,-0.281575115,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.43634,42.51056,6.027396107,0.063357481,14.17776625
adigi,1981,c,adigi_1981_c,Adigine,38,3.63758616,-0.281575115,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.43626,42.51053,6.039830303,0.072795177,17.38297935
adigi,1981,d,adigi_1981_d,Adigine,38,3.63758616,-0.281575115,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.43643,42.51071,6.027396107,0.061281631,14.17776625
adigi,1981,e,adigi_1981_e,Adigine,38,3.63758616,-0.281575115,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.4365,42.5106,6.027396107,0.04614053,14.17776625
adigi,1981,f,adigi_1981_f,Adigine,38,3.63758616,-0.281575115,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.43786,42.51025,5.832993031,0.118524909,9.891407901
adigi,1981,g,adigi_1981_g,Adigine,38,3.63758616,-0.281575115,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.43755,42.51043,5.844174623,0.079390232,9.932893451
adigi,1981,h,adigi_1981_h,Adigine,38,3.63758616,-0.281575115,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.43784,42.51036,5.832993031,0.072747245,9.891407901
adigi,1981,i,adigi_1981_i,Adigine,38,3.63758616,-0.281575115,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.43774,42.51037,5.844174623,0.072747245,9.932893451
adigi,1981,j,adigi_1981_j,Adigine,38,3.63758616,-0.281575115,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.437669,42.51037,5.844174623,0.082598909,9.932893451
adigi,2010,a,adigi_2010_a,Adigine,9,2.197224577,-1.597414973,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.4369,42.50767,6.036410153,0.097642505,12.64616068
adigi,2010,b,adigi_2010_b,Adigine,9,2.197224577,-1.597414973,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.43694,42.507655,6.036410153,0.104772228,12.64616068
adigi,2010,c,adigi_2010_c,Adigine,9,2.197224577,-1.597414973,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.4369,42.50775,6.036410153,0.06460438,12.64616068
adigi,2010,d,adigi_2010_d,Adigine,9,2.197224577,-1.597414973,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.43684,42.5077,6.036410153,0.097642505,12.64616068
adigi,2010,e,adigi_2010_e,Adigine,9,2.197224577,-1.597414973,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.4368,42.50778,6.353592217,0.060330009,12.13278247
agola,1850,a,agola_1850_a,Agola,168,5.123963979,1.076302798,12.52184582,0,2697.916013,8.43,-4.605170186,7.900234907,1.505576837,-0.971209888,0.065858138,10.85093,46.15404,5.82932809,0.116497921,11.02921652
