"Glacier","Year","Plot","uniqPlot","glacier","time","time.log","time.log.sc","c","n","p","ph","lg_n","lg_p","ph.s","n.s","p.s","lon","lat","meanT","ndvi","twi","ecm.q0","ecm.q1","am.q0","am.q1","sper.q1","fung.q1","sper.q0","fung.q0"
"adigi",1765,"a","adigi_1765_a","Adigine",254,5.537334267,1.453936517,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.44867,42.5262,8.654532721,0.432961576,13.00628525,1,1,0,1,4.8412172832984,32.2824884321232,10,71
"adigi",1765,"b","adigi_1765_b","Adigine",254,5.537334267,1.453936517,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.44867,42.52631,8.682941293,0.427361755,13.06132066,1,1,3,2.66478447426531,2.84924461135573,12.7360784045017,13,65
"adigi",1765,"c","adigi_1765_c","Adigine",254,5.537334267,1.453936517,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.44877,42.52644,8.682941293,0.43690898,13.06132066,1,1,1,1,2.87885468833914,7.30166830351258,8,45
"adigi",1765,"d","adigi_1765_d","Adigine",254,5.537334267,1.453936517,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.4485,42.52663,8.639830167,0.195755665,12.43146175,2,1.97228598008191,3,1.86208037584239,5.31205190603353,34.009121153175,9,59
"adigi",1765,"e","adigi_1765_e","Adigine",254,5.537334267,1.453936517,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.44912,42.52672,8.718029847,0.396261607,12.5057243,1,1,13,6.31856985039154,6.04628403625674,28.1174198817172,8,81
"adigi",1949,"a","adigi_1949_a","Adigine",70,4.248495242,0.276519832,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.444223,42.51873,8.565445042,0.148474517,10.45796253,0,1,2,1.97228598008191,2.54414294962324,14.7042011097001,5,54
"adigi",1949,"b","adigi_1949_b","Adigine",70,4.248495242,0.276519832,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.44432,42.51887,8.601538944,0.127495205,11.41123333,0,1,3,2.73541961398884,1.50230364807941,23.9847408940424,2,57
"adigi",1949,"c","adigi_1949_c","Adigine",70,4.248495242,0.276519832,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.4444,42.51902,8.61032145,0.133962342,9.303928627,0,1,2,1.99381709542368,1.82274341180351,20.0153123340928,3,57
"adigi",1949,"d","adigi_1949_d","Adigine",70,4.248495242,0.276519832,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.4448,42.51916,7.413919836,0.119184259,10.21508429,0,1,0,1,1,25.97854978399,1,64
"adigi",1949,"e","adigi_1949_e","Adigine",70,4.248495242,0.276519832,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.44409,42.51852,8.524052143,0.115604332,10.31583838,0,1,0,1,2.22554816950995,22.2197248080648,4,45
"adigi",1963,"a","adigi_1963_a","Adigine",56,4.025351691,0.072667422,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.437895,42.513342,7.219779825,0.061054144,10.72179914,0,1,0,1,1,8.00212818012806,1,10
"adigi",1963,"b","adigi_1963_b","Adigine",56,4.025351691,0.072667422,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.438057,42.513345,7.219779825,0.078144368,10.72179914,0,1,0,1,1,8.32259794568819,0,18
"adigi",1963,"c","adigi_1963_c","Adigine",56,4.025351691,0.072667422,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.437949,42.513377,7.219779825,0.061054144,10.72179914,0,1,0,1,1,4.02289066852131,0,5
"adigi",1963,"d","adigi_1963_d","Adigine",56,4.025351691,0.072667422,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.437788,42.513348,7.219779825,0.062391474,10.72179914,0,1,0,1,1,8.68106046950207,0,15
"adigi",1963,"e","adigi_1963_e","Adigine",56,4.025351691,0.072667422,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.437628,42.51322,7.258462739,0.058747322,11.76621515,0,1,0,1,1,1.49412214330494,0,2
"adigi",1981,"a","adigi_1981_a","Adigine",38,3.63758616,-0.281575115,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.43656,42.51046,6.437570024,0.044558313,15.47458039,0,1,0,1,1,9.52521679581489,0,22
